Camara,Cargo,División,Fin,Inicio,Nombre,Partido,Periodos Poder Legislativo,Apellido_Pat,Apellido_Mat,Nombre_1,Nombre_2,Nombre_3,Nombre_4,Nombre_Naim
Diputados,Diputado Propietario,Copiapó,1873-05-31,1870-06-01,Manuel Antonio Matta Goyenechea,Partido Radical,1833-1891,Matta,Goyenechea,Manuel,Antonio,,,Manuel Antonio Matta Goyenechea
Diputados,Diputado Propietario,Copiapó,1873-05-31,1870-06-01,Pedro León Gallo Goyenechea,Partido Radical,1833-1891,Gallo,Goyenechea,Pedro,León,,,Pedro Leon Gallo Goyenechea
Diputados,Diputado Suplente,Copiapó,1873-05-31,1870-06-01,Telésforo Espiga,,1833-1891,Espiga,,Telésforo,,,,Telesforo Espiga
Diputados,Diputado Propietario,Vallenar,1873-05-31,1870-06-01,Carlos Walker Martínez,Partido Conservador,1833-1891,Walker,Martínez,Carlos,,,,Carlos Walker Martinez
Diputados,Diputado Suplente,Vallenar,1873-05-31,1870-06-01,Ramón Vial Formas,,1833-1891,Vial,Formas,Ramón,,,,Ramon Vial Formas
Diputados,Diputado Propietario,Freirina,1873-05-31,1870-06-01,Ambrosio Montt Luco,,1833-1891,Montt,Luco,Ambrosio,,,,Ambrosio Montt Luco
Diputados,Diputado Suplente,Freirina,1873-05-31,1870-06-01,Juan de Dios Arlegui Gorbea,Partido Liberal,1833-1891,Arlegui,Gorbea,Juan de Dios,,,,Juan de Dios Arlegui Gorbea
Diputados,Diputado Propietario,Caldera,1873-05-31,1870-06-01,Angel Custodio Francisco Gallo Goyenechea,Partido Radical,1833-1891,Gallo,Goyenechea,Angel,Custodio,Francisco,,Angel Custodio Francisco Gallo Goyenechea
Diputados,Diputado Suplente,Caldera,1873-05-31,1870-06-01,Cosme Campillo Ibáñez,Partido Conservador,1833-1891,Campillo,Ibáñez,Cosme,,,,Cosme Campillo Ibañez
Diputados,Diputado Propietario,La Serena,1873-05-31,1870-06-01,Maximiano Errázuriz Valdivieso,,1833-1891,Errázuriz,Valdivieso,Maximiano,,,,Maximiano Errazuriz Valdivieso
Diputados,Diputado Suplente,La Serena,1873-05-31,1870-06-01,José Antonio Larraguibel Munizaga,Partido Liberal,1833-1891,Larraguibel,Munizaga,José,Antonio,,,Jose Antonio Larraguibel Munizaga
Diputados,Diputado Propietario,Coquimbo,1873-05-31,1870-06-01,Manuel Jerónimo Urmeneta García,Partido Radical,1833-1891,Urmeneta,García,Manuel,Jerónimo,,,Manuel Jeronimo Urmeneta Garcia
Diputados,Diputado Suplente,Coquimbo,1873-05-31,1870-06-01,Pedro Nolasco Videla Hidalgo,,1833-1891,Videla,Hidalgo,Pedro,Nolasco,,,Pedro Nolasco Videla Hidalgo
Diputados,Diputado Propietario,Vicuña,1873-05-31,1870-06-01,Antonio Varas de la Barra,Partido Nacional o Monttvarista,1833-1891,Varas,de la Barra,Antonio,,,,Antonio Varas de la Barra
Diputados,Diputado Suplente,Vicuña,1873-05-31,1870-06-01,Francisco Segundo Puelma Castillo,Partido Nacional o Monttvarista,1833-1891,Puelma,Castillo,Francisco,Segundo,,,Francisco Segundo Puelma Castillo
Diputados,Diputado Propietario,Ovalle,1873-05-31,1870-06-01,Silvestre Ochagavía Errázuriz,Partido Nacional o Monttvarista,1833-1891,Ochagavía,Errázuriz,Silvestre,,,,Silvestre Ochagavia Errazuriz
Diputados,Diputado Propietario,Ovalle,1873-05-31,1870-06-01,Manuel Amunátegui Aldunate,,1833-1891,Amunátegui,Aldunate,Manuel,,,,Manuel Amunategui Aldunate
Diputados,Diputado Suplente,Ovalle,1873-05-31,1870-06-01,Samuel Izquierdo Urmeneta,,1833-1891,Izquierdo,Urmeneta,Samuel,,,,Samuel Izquierdo Urmeneta
